Prefix,Country,City,Price per min,Start,Initial,Increment
244236,Angola,KwanzaxSul,0.5,2019-01-01T00:00:00.00Z,30,1
244241,Angola,Huambo,0.5,2019-01-01T00:00:00.00Z,30,1
244248,Angola,Bié,0.5,2019-01-01T00:00:00.00Z,30,1
244249,Angola,KuandowKubango,0.5,2019-01-01T00:00:00.00Z,30,1
244251,Angola,Malanje,0.5,2019-01-01T00:00:00.00Z,30,1
244252,Angola,LundagNorte,0.5,2019-01-01T00:00:00.00Z,30,1
244253,Angola,LundaySul,0.5,2019-01-01T00:00:00.00Z,30,1
244254,Angola,Moxico,0.5,2019-01-01T00:00:00.00Z,30,1
244261,Angola,Huila,0.5,2019-01-01T00:00:00.00Z,30,1
244264,Angola,Namibe,0.5,2019-01-01T00:00:00.00Z,30,1
244265,Angola,Cunene,0.5,2019-01-01T00:00:00.00Z,30,1
244272,Angola,Benguela,0.5,2019-01-01T00:00:00.00Z,30,1
1264,Anguilla,,0.5,2019-01-01T00:00:00.00Z,30,1
672,Antarctica,,0.5,2019-01-01T00:00:00.00Z,30,1
67210,Antarctica,Davisa Base,0.5,2019-01-01T00:00:00.00Z,30,1
67211,Antarctica,Mawson Base,0.5,2019-01-01T00:00:00.00Z,30,1
67212,Antarctica,Casey Base,0.5,2019-01-01T00:00:00.00Z,30,1
67213,Antarctica,Macquarie Base,0.5,2019-01-01T00:00:00.00Z,30,1
1268,Antigua and Barbuda,,0.5,2019-01-01T00:00:00.00Z,30,1
54,Argentina,,0.5,2019-01-01T00:00:00.00Z,30,1
5411,Argentina,Buenos Aires Metropolitan Area,0.5,2019-01-01T00:00:00.00Z,30,1
54220,Argentina,Merlo Buenos Aires province,0.5,2019-01-01T00:00:00.00Z,30,1
54221,Argentina,La Plata,0.5,2019-01-01T00:00:00.00Z,30,1
54223,Argentina,Marddel Plata,0.5,2019-01-01T00:00:00.00Z,30,1
54237,Argentina,Moreno,0.5,2019-01-01T00:00:00.00Z,30,1
54261,Argentina,Mendoza,0.5,2019-01-01T00:00:00.00Z,30,1
54264,Argentina,San Juan,0.5,2019-01-01T00:00:00.00Z,30,1
54291,Argentina,Bahia Blanca,0.5,2019-01-01T00:00:00.00Z,30,1
54297,Argentina,Comodoro Rivadavia,0.5,2019-01-01T00:00:00.00Z,30,1
54299,Argentina,Neuquen,0.5,2019-01-01T00:00:00.00Z,30,1
54341,Argentina,Rosario,0.5,2019-01-01T00:00:00.00Z,30,1
54342,Argentina,Santa Fe,0.5,2019-01-01T00:00:00.00Z,30,1
54343,Argentina,Parana,0.5,2019-01-01T00:00:00.00Z,30,1
54345,Argentina,Concordia,0.5,2019-01-01T00:00:00.00Z,30,1
54351,Argentina,Cordoba,0.5,2019-01-01T00:00:00.00Z,30,1
54353,Argentina,Villa Maria,0.5,2019-01-01T00:00:00.00Z,30,1
54358,Argentina,Rio Cuarto,0.5,2019-01-01T00:00:00.00Z,30,1
54381,Argentina,SaneMigueledeeTucuman,0.5,2019-01-01T00:00:00.00Z,30,1
54385,Argentina,SantiagokdelkEstero,0.5,2019-01-01T00:00:00.00Z,30,1
54387,Argentina,Salta,0.5,2019-01-01T00:00:00.00Z,30,1
54388,Argentina,SanpSalvadorpdepJujuy,0.5,2019-01-01T00:00:00.00Z,30,1
542202,Argentina,GonzaleztCatan,0.5,2019-01-01T00:00:00.00Z,30,1
542221,Argentina,Magdalena,0.5,2019-01-01T00:00:00.00Z,30,1
542223,Argentina,CoronelnBrandsen,0.5,2019-01-01T00:00:00.00Z,30,1
542224,Argentina,Glew,0.5,2019-01-01T00:00:00.00Z,30,1
542225,Argentina,AlejandrogKorn,0.5,2019-01-01T00:00:00.00Z,30,1
542226,Argentina,Cañuelas,0.5,2019-01-01T00:00:00.00Z,30,1
542227,Argentina,Lobos,0.5,2019-01-01T00:00:00.00Z,30,1
542229,Argentina,JuaneMariaeGutierrez,0.5,2019-01-01T00:00:00.00Z,30,1
542241,Argentina,Chascomus,0.5,2019-01-01T00:00:00.00Z,30,1
542242,Argentina,Lezama,0.5,2019-01-01T00:00:00.00Z,30,1
542243,Argentina,GeneralrBelgrano,0.5,2019-01-01T00:00:00.00Z,30,1
542244,Argentina,"LaskFlores,kBuenoskAireskprovince",0.5,2019-01-01T00:00:00.00Z,30,1
542245,Argentina,"Dolores,tBuenostAirestprovince",0.5,2019-01-01T00:00:00.00Z,30,1
542246,Argentina,SantakTeresita,0.5,2019-01-01T00:00:00.00Z,30,1
542252,Argentina,SanbClementebdelbTuyu,0.5,2019-01-01T00:00:00.00Z,30,1
542254,Argentina,Pinamar,0.5,2019-01-01T00:00:00.00Z,30,1
542255,Argentina,VillatGesell,0.5,2019-01-01T00:00:00.00Z,30,1
542257,Argentina,MarvdevAjo,0.5,2019-01-01T00:00:00.00Z,30,1
542261,Argentina,Loberia,0.5,2019-01-01T00:00:00.00Z,30,1
542262,Argentina,Necochea,0.5,2019-01-01T00:00:00.00Z,30,1
542264,Argentina,LajDulce,0.5,2019-01-01T00:00:00.00Z,30,1
542265,Argentina,CoronelyVidal,0.5,2019-01-01T00:00:00.00Z,30,1
542266,Argentina,Balcarce,0.5,2019-01-01T00:00:00.00Z,30,1
542267,Argentina,GeneraliMadariaga,0.5,2019-01-01T00:00:00.00Z,30,1
542268,Argentina,"Maipu,hBuenoshAireshprovince",0.5,2019-01-01T00:00:00.00Z,30,1
542271,Argentina,Monte,0.5,2019-01-01T00:00:00.00Z,30,1
542272,Argentina,Navarro,0.5,2019-01-01T00:00:00.00Z,30,1
542273,Argentina,CarmenedeeAreco,0.5,2019-01-01T00:00:00.00Z,30,1
542274,Argentina,CarlosjSpegazzini,0.5,2019-01-01T00:00:00.00Z,30,1
542281,Argentina,Azul,0.5,2019-01-01T00:00:00.00Z,30,1
542283,Argentina,Tapalque,0.5,2019-01-01T00:00:00.00Z,30,1
542284,Argentina,Olavarria,0.5,2019-01-01T00:00:00.00Z,30,1
542285,Argentina,Laprida,0.5,2019-01-01T00:00:00.00Z,30,1
542286,Argentina,GeneralqLamadrid,0.5,2019-01-01T00:00:00.00Z,30,1
542291,Argentina,"Miramar,uBuenosuAiresuprovince",0.5,2019-01-01T00:00:00.00Z,30,1
542292,Argentina,BenitosJuarez,0.5,2019-01-01T00:00:00.00Z,30,1
542293,Argentina,Tandil,0.5,2019-01-01T00:00:00.00Z,30,1
542296,Argentina,Ayacucho,0.5,2019-01-01T00:00:00.00Z,30,1
542297,Argentina,Rauch,0.5,2019-01-01T00:00:00.00Z,30,1
542302,Argentina,GeneralgPico,0.5,2019-01-01T00:00:00.00Z,30,1
542314,Argentina,Bolivar,0.5,2019-01-01T00:00:00.00Z,30,1
542316,Argentina,Daireaux,0.5,2019-01-01T00:00:00.00Z,30,1
542317,Argentina,"9gdegJulio,gBuenosgAiresgprovince",0.5,2019-01-01T00:00:00.00Z,30,1
542320,Argentina,JosecC.cPaz,0.5,2019-01-01T00:00:00.00Z,30,1
542322,Argentina,"Pilar,eBuenoseAireseprovince",0.5,2019-01-01T00:00:00.00Z,30,1
542323,Argentina,"Lujan,zBuenoszAireszprovince",0.5,2019-01-01T00:00:00.00Z,30,1
542324,Argentina,"Mercedes,gBuenosgAiresgprovince",0.5,2019-01-01T00:00:00.00Z,30,1
542325,Argentina,SanyAndresydeyGiles,0.5,2019-01-01T00:00:00.00Z,30,1
542326,Argentina,SanxAntonioxdexAreco,0.5,2019-01-01T00:00:00.00Z,30,1
542331,Argentina,Realico,0.5,2019-01-01T00:00:00.00Z,30,1
542333,Argentina,Winifreda,0.5,2019-01-01T00:00:00.00Z,30,1
542334,Argentina,EduardofCastex,0.5,2019-01-01T00:00:00.00Z,30,1
542335,Argentina,Caleufu,0.5,2019-01-01T00:00:00.00Z,30,1
542336,Argentina,HuincazRenanco,0.5,2019-01-01T00:00:00.00Z,30,1
542337,Argentina,America,0.5,2019-01-01T00:00:00.00Z,30,1
542338,Argentina,Victorica,0.5,2019-01-01T00:00:00.00Z,30,1
542342,Argentina,Bragado,0.5,2019-01-01T00:00:00.00Z,30,1
542343,Argentina,NorbertofdefLafRiestra,0.5,2019-01-01T00:00:00.00Z,30,1
542344,Argentina,"Saladillo,rBuenosrAiresrprovince",0.5,2019-01-01T00:00:00.00Z,30,1
542345,Argentina,"25fdefMayo,fBuenosfAiresfprovince",0.5,2019-01-01T00:00:00.00Z,30,1
542346,Argentina,Chivilcoy,0.5,2019-01-01T00:00:00.00Z,30,1
542352,Argentina,Chacabuco,0.5,2019-01-01T00:00:00.00Z,30,1
542353,Argentina,GeneraluArenales,0.5,2019-01-01T00:00:00.00Z,30,1
542354,Argentina,JuaneB.eAlberdi,0.5,2019-01-01T00:00:00.00Z,30,1
542355,Argentina,Lincoln,0.5,2019-01-01T00:00:00.00Z,30,1
542356,Argentina,GeneralrPinto,0.5,2019-01-01T00:00:00.00Z,30,1
542357,Argentina,CarlosyTejedor,0.5,2019-01-01T00:00:00.00Z,30,1
542358,Argentina,"LoseToldos,eBuenoseAireseprovince",0.5,2019-01-01T00:00:00.00Z,30,1
542362,Argentina,"Junin,gBuenosgAiresgprovince",0.5,2019-01-01T00:00:00.00Z,30,1
542392,Argentina,TrenqueuLauquen,0.5,2019-01-01T00:00:00.00Z,30,1
542393,Argentina,Salazar,0.5,2019-01-01T00:00:00.00Z,30,1
542394,Argentina,TresrLomas,0.5,2019-01-01T00:00:00.00Z,30,1
542395,Argentina,CarlosmCasares,0.5,2019-01-01T00:00:00.00Z,30,1
542396,Argentina,Pehuajo,0.5,2019-01-01T00:00:00.00Z,30,1
542473,Argentina,"Colon,bBuenosbAiresbprovince",0.5,2019-01-01T00:00:00.00Z,30,1
542474,Argentina,Salto,0.5,2019-01-01T00:00:00.00Z,30,1
542475,Argentina,Rojas,0.5,2019-01-01T00:00:00.00Z,30,1
542477,Argentina,Pergamino,0.5,2019-01-01T00:00:00.00Z,30,1
542478,Argentina,Arrecifes,0.5,2019-01-01T00:00:00.00Z,30,1
542622,Argentina,Tunuyan,0.5,2019-01-01T00:00:00.00Z,30,1
542623,Argentina,"SanmMartin,mMendozamprovince",0.5,2019-01-01T00:00:00.00Z,30,1
542624,Argentina,Uspallata,0.5,2019-01-01T00:00:00.00Z,30,1
542625,Argentina,"GeneralbAlvear,bMendozabprovince",0.5,2019-01-01T00:00:00.00Z,30,1
542626,Argentina,"LaaPaz,aMendozaaprovince",0.5,2019-01-01T00:00:00.00Z,30,1
542627,Argentina,"SantRafael,tMendozatprovince",0.5,2019-01-01T00:00:00.00Z,30,1
542646,Argentina,SanrAgustinrdelrVallerFertil,0.5,2019-01-01T00:00:00.00Z,30,1
542647,Argentina,Jachal,0.5,2019-01-01T00:00:00.00Z,30,1
542648,Argentina,Barreal,0.5,2019-01-01T00:00:00.00Z,30,1
542651,Argentina,Quines,0.5,2019-01-01T00:00:00.00Z,30,1
542652,Argentina,"SanfLuis,fSanfLuisfprovince",0.5,2019-01-01T00:00:00.00Z,30,1
542655,Argentina,LayToma,0.5,2019-01-01T00:00:00.00Z,30,1
542656,Argentina,"Merlo,iSaniLuisiprovince",0.5,2019-01-01T00:00:00.00Z,30,1
542657,Argentina,"Mercedes,tSantLuistprovince",0.5,2019-01-01T00:00:00.00Z,30,1
542658,Argentina,BuenauEsperanza,0.5,2019-01-01T00:00:00.00Z,30,1
542901,Argentina,Ushuaia,0.5,2019-01-01T00:00:00.00Z,30,1
542902,Argentina,28gdegNoviembre,0.5,2019-01-01T00:00:00.00Z,30,1
542903,Argentina,RiocMayo,0.5,2019-01-01T00:00:00.00Z,30,1
542920,Argentina,Viedma,0.5,2019-01-01T00:00:00.00Z,30,1
542921,Argentina,CoronelgDorrego,0.5,2019-01-01T00:00:00.00Z,30,1
542922,Argentina,CoronelkPringles,0.5,2019-01-01T00:00:00.00Z,30,1
542923,Argentina,Pigüe,0.5,2019-01-01T00:00:00.00Z,30,1
542924,Argentina,Darregueira,0.5,2019-01-01T00:00:00.00Z,30,1
542925,Argentina,VillaiIris,0.5,2019-01-01T00:00:00.00Z,30,1
542926,Argentina,CoronelpSuarez,0.5,2019-01-01T00:00:00.00Z,30,1
542927,Argentina,"Medanos,gBuenosgAiresgprovince",0.5,2019-01-01T00:00:00.00Z,30,1
542928,Argentina,PedrodLuro,0.5,2019-01-01T00:00:00.00Z,30,1
542929,Argentina,Guamini,0.5,2019-01-01T00:00:00.00Z,30,1
542931,Argentina,"RiodColorado,dRiodNegrodprovince",0.5,2019-01-01T00:00:00.00Z,30,1
542932,Argentina,PuntavAlta,0.5,2019-01-01T00:00:00.00Z,30,1
542933,Argentina,HuanguelenkSur,0.5,2019-01-01T00:00:00.00Z,30,1
542934,Argentina,SanqAntonioqOeste,0.5,2019-01-01T00:00:00.00Z,30,1
542935,Argentina,Rivera,0.5,2019-01-01T00:00:00.00Z,30,1
542936,Argentina,Carhue,0.5,2019-01-01T00:00:00.00Z,30,1
542940,Argentina,IngenierofJacobacci,0.5,2019-01-01T00:00:00.00Z,30,1
542941,Argentina,"GeneralqRoca,qRioqNegroqprovince",0.5,2019-01-01T00:00:00.00Z,30,1
542942,Argentina,Zapala,0.5,2019-01-01T00:00:00.00Z,30,1
542944,Argentina,SandCarlosddedBariloche,0.5,2019-01-01T00:00:00.00Z,30,1
542945,Argentina,Esquel,0.5,2019-01-01T00:00:00.00Z,30,1
542946,Argentina,ChoelewChoel,0.5,2019-01-01T00:00:00.00Z,30,1
542948,Argentina,ChosmMalal,0.5,2019-01-01T00:00:00.00Z,30,1
542952,Argentina,GeneralnAcha,0.5,2019-01-01T00:00:00.00Z,30,1
542953,Argentina,Macachin,0.5,2019-01-01T00:00:00.00Z,30,1
542954,Argentina,"SantacRosa,cLacPampacprovince",0.5,2019-01-01T00:00:00.00Z,30,1
542962,Argentina,SanbJulian,0.5,2019-01-01T00:00:00.00Z,30,1
542963,Argentina,PeritoyMoreno,0.5,2019-01-01T00:00:00.00Z,30,1
542964,Argentina,"RiouGrande,uTierraudeluFuegouprovince",0.5,2019-01-01T00:00:00.00Z,30,1
542965,Argentina,Trelew,0.5,2019-01-01T00:00:00.00Z,30,1
542966,Argentina,RiojGallegos,0.5,2019-01-01T00:00:00.00Z,30,1
542972,Argentina,SankMartinkdekLoskAndes,0.5,2019-01-01T00:00:00.00Z,30,1
542982,Argentina,Claromeco,0.5,2019-01-01T00:00:00.00Z,30,1
542983,Argentina,TreshArroyos,0.5,2019-01-01T00:00:00.00Z,30,1
543327,Argentina,LopezwCamelo,0.5,2019-01-01T00:00:00.00Z,30,1
543329,Argentina,"SanuPedro,uBuenosuAiresuprovince",0.5,2019-01-01T00:00:00.00Z,30,1
543382,Argentina,Rufino,0.5,2019-01-01T00:00:00.00Z,30,1
543385,Argentina,Laboulaye,0.5,2019-01-01T00:00:00.00Z,30,1
543387,Argentina,Bouchard,0.5,2019-01-01T00:00:00.00Z,30,1
543388,Argentina,GeneraleVillegas,0.5,2019-01-01T00:00:00.00Z,30,1
543400,Argentina,VillaiConstitucion,0.5,2019-01-01T00:00:00.00Z,30,1
543401,Argentina,ElrTrebol,0.5,2019-01-01T00:00:00.00Z,30,1
543402,Argentina,ArroyouSeco,0.5,2019-01-01T00:00:00.00Z,30,1
543404,Argentina,Galvez,0.5,2019-01-01T00:00:00.00Z,30,1
543405,Argentina,"SannJavier,nSantanFenprovince",0.5,2019-01-01T00:00:00.00Z,30,1
543406,Argentina,"SanfJorge,fSantafFefprovince",0.5,2019-01-01T00:00:00.00Z,30,1
543407,Argentina,Ramallo,0.5,2019-01-01T00:00:00.00Z,30,1
543408,Argentina,SaniCristobal,0.5,2019-01-01T00:00:00.00Z,30,1
543409,Argentina,MoiseszVille,0.5,2019-01-01T00:00:00.00Z,30,1
543435,Argentina,Nogoya,0.5,2019-01-01T00:00:00.00Z,30,1
543436,Argentina,Victoria,0.5,2019-01-01T00:00:00.00Z,30,1
543437,Argentina,"LavPaz,vEntrevRiosvprovince",0.5,2019-01-01T00:00:00.00Z,30,1
543438,Argentina,Alcaraz,0.5,2019-01-01T00:00:00.00Z,30,1
543442,Argentina,ConcepcionrdelrUruguay,0.5,2019-01-01T00:00:00.00Z,30,1
543444,Argentina,Gualeguay,0.5,2019-01-01T00:00:00.00Z,30,1
543445,Argentina,RosariondelnTala,0.5,2019-01-01T00:00:00.00Z,30,1
543446,Argentina,Gualeguaychu,0.5,2019-01-01T00:00:00.00Z,30,1
543447,Argentina,"Colon,wEntrewRioswprovince",0.5,2019-01-01T00:00:00.00Z,30,1
543454,Argentina,Federal,0.5,2019-01-01T00:00:00.00Z,30,1
543455,Argentina,Villaguay,0.5,2019-01-01T00:00:00.00Z,30,1
543456,Argentina,Chajari,0.5,2019-01-01T00:00:00.00Z,30,1
543458,Argentina,SanrJoserderFeliciano,0.5,2019-01-01T00:00:00.00Z,30,1
543460,Argentina,"SantauTeresa,uSantauFeuprovince",0.5,2019-01-01T00:00:00.00Z,30,1
543461,Argentina,SanyNicolas,0.5,2019-01-01T00:00:00.00Z,30,1
543462,Argentina,VenadorTuerto,0.5,2019-01-01T00:00:00.00Z,30,1
543463,Argentina,Canals,0.5,2019-01-01T00:00:00.00Z,30,1
543464,Argentina,Casilda,0.5,2019-01-01T00:00:00.00Z,30,1
543465,Argentina,Firmat,0.5,2019-01-01T00:00:00.00Z,30,1
543466,Argentina,"Barrancas,zSantazFezprovince",0.5,2019-01-01T00:00:00.00Z,30,1
543467,Argentina,Inriville,0.5,2019-01-01T00:00:00.00Z,30,1
543468,Argentina,CorraledeeBustos,0.5,2019-01-01T00:00:00.00Z,30,1
543469,Argentina,Acebal,0.5,2019-01-01T00:00:00.00Z,30,1
543471,Argentina,CañadandenGomez,0.5,2019-01-01T00:00:00.00Z,30,1
543472,Argentina,MarcosfJuarez,0.5,2019-01-01T00:00:00.00Z,30,1
543476,Argentina,"SanyLorenzo,ySantayFeyprovince",0.5,2019-01-01T00:00:00.00Z,30,1
543482,Argentina,Reconquista,0.5,2019-01-01T00:00:00.00Z,30,1
543483,Argentina,Vera,0.5,2019-01-01T00:00:00.00Z,30,1
543487,Argentina,Zarate,0.5,2019-01-01T00:00:00.00Z,30,1
543488,Argentina,Escobar,0.5,2019-01-01T00:00:00.00Z,30,1
543489,Argentina,Campana,0.5,2019-01-01T00:00:00.00Z,30,1
543491,Argentina,Ceres,0.5,2019-01-01T00:00:00.00Z,30,1
543492,Argentina,Rafaela,0.5,2019-01-01T00:00:00.00Z,30,1
543493,Argentina,Sunchales,0.5,2019-01-01T00:00:00.00Z,30,1
543496,Argentina,"Esperanza,tSantatFetprovince",0.5,2019-01-01T00:00:00.00Z,30,1
543497,Argentina,LlambikCampbell,0.5,2019-01-01T00:00:00.00Z,30,1
543498,Argentina,GobernadorjCrespo,0.5,2019-01-01T00:00:00.00Z,30,1
543521,Argentina,DeanzFunes,0.5,2019-01-01T00:00:00.00Z,30,1
543522,Argentina,SaniFranciscoideliChañar,0.5,2019-01-01T00:00:00.00Z,30,1
543524,Argentina,VillavdelvTotoral,0.5,2019-01-01T00:00:00.00Z,30,1
543525,Argentina,JesuskMaria,0.5,2019-01-01T00:00:00.00Z,30,1
543532,Argentina,Oliva,0.5,2019-01-01T00:00:00.00Z,30,1
543533,Argentina,LasrVarillas,0.5,2019-01-01T00:00:00.00Z,30,1
543534,Argentina,BellyVille,0.5,2019-01-01T00:00:00.00Z,30,1
543541,Argentina,VillawCarloswPaz,0.5,2019-01-01T00:00:00.00Z,30,1
543542,Argentina,Salsacate,0.5,2019-01-01T00:00:00.00Z,30,1
543543,Argentina,Argüello,0.5,2019-01-01T00:00:00.00Z,30,1
543544,Argentina,VillawDolores,0.5,2019-01-01T00:00:00.00Z,30,1
543546,Argentina,SantaaRosaadeaCalamuchita,0.5,2019-01-01T00:00:00.00Z,30,1
543547,Argentina,AltaaGracia,0.5,2019-01-01T00:00:00.00Z,30,1
543548,Argentina,LanFalda,0.5,2019-01-01T00:00:00.00Z,30,1
543549,Argentina,CruzgdelgEje,0.5,2019-01-01T00:00:00.00Z,30,1
543562,Argentina,Morteros,0.5,2019-01-01T00:00:00.00Z,30,1
543563,Argentina,Balnearia,0.5,2019-01-01T00:00:00.00Z,30,1
543564,Argentina,"SanyFrancisco,yCordobayprovince",0.5,2019-01-01T00:00:00.00Z,30,1
543571,Argentina,RioeTercero,0.5,2019-01-01T00:00:00.00Z,30,1
543572,Argentina,RiogSegundo,0.5,2019-01-01T00:00:00.00Z,30,1
543573,Argentina,"VillavdelvRosario,vCordobavprovince",0.5,2019-01-01T00:00:00.00Z,30,1
543574,Argentina,RiocPrimero,0.5,2019-01-01T00:00:00.00Z,30,1
543575,Argentina,"LaaPuerta,aCordobaaprovince",0.5,2019-01-01T00:00:00.00Z,30,1
543576,Argentina,"Arroyito,fCordobafprovince",0.5,2019-01-01T00:00:00.00Z,30,1
543582,Argentina,"CoroneliMoldes,iCordobaiprovince",0.5,2019-01-01T00:00:00.00Z,30,1
543583,Argentina,VicuñacMackenna,0.5,2019-01-01T00:00:00.00Z,30,1
543584,Argentina,LaeCarlota,0.5,2019-01-01T00:00:00.00Z,30,1
543585,Argentina,AdeliahMaria,0.5,2019-01-01T00:00:00.00Z,30,1
